Name,Nom,Growth,Soil,Sunlight,Watering,Fertilization,Life_cycle,Type_subshrub,Type_climbing,Type_succulent,Type_tree,Type_epiphytic,Type_shrub,Type_herbaceous,Usage_industrial,Usage_ornamental,Usage_aromatic,Usage_medicinal,Usage_melliferae,Usage_fodder,Usage_vegetable,Usage_fruit,Usage_spice,Usage_oil
candytuft,Ibéris,1,0,2,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
yew,If,0,2,1,1,4,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
chinese evergreen,Immortelle chinoise,0,3,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
impatiens,Impatiens,1,3,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
iris,Iris,1,3,2,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
bearded iris,Iris barbu,0,0,1,2,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ixia,Ixia,1,3,2,3,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
jacaranda,Jacaranda,1,3,2,3,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
hyacinth,Jacinthe,1,2,2,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
bluebell,Jacinthe des bois,1,3,1,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
jasmine,Jasmin,1,3,2,3,4,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
star jasmine,Jasmin étoilé,1,3,2,3,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jatropha,Jatropha,1,0,2,3,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
sedge,Jonc,0,3,1,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
daffodil,Jonquille,0,3,2,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
henbane,Jusquiame (noire),1,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
kalanchoe,Kalanchoé,1,0,2,1,4,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kikar tree (acacia),Kikar tree (acacia),1,0,2,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
kiwi vine,Kiwi,2,3,2,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
knautia,Knautia,1,3,2,3,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
laelia orchid,Laelia,0,3,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
lantana,Lantana,2,0,2,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
fairy lantern,Lanterne de fée,1,2,1,2,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
bay laurel,Laurier sauce,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
lavender,Lavande,1,0,2,1,0,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
lavender (english),Lavande (anglaise),1,0,2,1,4,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
lavender (french),Lavande (française),1,0,2,1,4,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
liatris,Liatris,1,3,2,3,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
ivy,Lierre,1,3,0,2,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
devils ivy,Lierre du diable,1,3,0,3,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
swedish ivy,Lierre suédois,2,3,0,0,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
